nombre,poblacion,superficie,continente
Afganistán,42171000,652230,Asia
Albania,2363314,28748,Europa
Alemania,83577140,357022,Europa
Andorra,87097,468,Europa
Angola,36749906,1246700,África
Antigua y Barbuda,93316,442,América
Arabia Saudita,37088000,2149690,Asia
Argelia,45200000,2381741,África
Argentina,46200000,2780400,América
Armenia,3076252,29743,Asia
Australia,26951000,7692024,Oceanía
Austria,9197213,83879,Europa
Azerbaiyán,10224889,86600,Asia
Bahamas,399440,13943,América
Bangladés,171466990,147570,Asia
Baréin,1577000,765,Asia
Barbados,282336,430,América
Belice,411106,22966,América
Bélgica,11600000,30528,Europa
Benín,13713000,112622,África
Bielorrusia,9449323,207600,Europa
Birmania,55000000,676578,Asia
Bolivia,12244159,1098581,América
Bosnia y Herzegovina,3406568,51197,Europa
Botsuana,2480244,581730,África
Brasil,211695000,8515767,América
Brunéi,451000,5765,Asia
Bulgaria,6437360,110879,Europa
Burkina Faso,23251000,272967,África
Burundi,12976000,27834,África
Bután,785000,38394,Asia
Cabo Verde,579000,4033,África
Camboya,17168000,181035,Asia
Camerún,28372687,475442,África
Canadá,41651653,9984670,América
Catar,2590000,11586,Asia
Chad,18278000,1284000,África
Chile,19658835,756102,América
China,1409670000,9596961,Asia
Chipre,1259000,9251,Europa
Colombia,52216000,1141748,América
Comoras,869595,2235,África
Congo,6138000,342000,África
Corea del Norte,26011000,120540,Asia
Corea del Sur,51737000,100210,Asia
Costa de Marfil,31165654,322463,África
Costa Rica,5278000,51100,América
Croacia,3827240,56594,Europa
Cuba,11019931,109884,América
Dinamarca,5932654,43094,Europa
Ecuador,18330000,283561,América
Egipto,116500000,1001450,África
El Salvador,6486200,21041,América
Emiratos Árabes Unidos,9770529,83600,Asia
Eritrea,3546064,117600,África
Eslovaquia,5456362,49035,Europa
Eslovenia,2078654,20273,Europa
España,46719142,505992,Europa
Estados Unidos,331893745,9833517,América
Estonia,1326535,45227,Europa
Eswatini,1160164,17364,África
Etiopía,132100000,1104300,África
Fiyi,896444,18274,Oceanía
Filipinas,113000000,300000,Asia
Finlandia,5540720,338424,Europa
Francia,67391582,643801,Europa
Gabón,2270400,267668,África
Gambia,241666,11295,África
Georgia,3989167,69700,Asia
Ghana,32000000,238533,África
Granada,112523,344,América
Grecia,10423054,131957,Europa
Guatemala,17915568,108889,América
Guinea,13900000,245857,África
Guinea-Bisáu,2068000,36125,África
Guyana,786000,214969,América
Haití,11890774,27750,América
Honduras,9904607,112492,América
Hungría,9660351,93028,Europa
India,1450930000,3287263,Asia
Indonesia,283000000,1904569,Asia
Irak,44201000,438317,Asia
Irán,89000000,1648195,Asia
Irlanda,4937786,70273,Europa
Islandia,375000,103000,Europa
Islas Marshall,42500,181,Oceanía
Islas Salomón,740000,28896,Oceanía
Israel,9216900,22072,Asia
